"RK",TIERS,"PLAYER NAME",TEAM,"POS","BYE WEEK","UPSIDE ","BUST ","SOS SEASON","ECR VS. ADP"
"467",14,"Myles Montgomery",NE,"RB137","11","","","2 out of 5 stars","-"
"468",14,"Zavier Scott",MIN,"RB138","6","","","4 out of 5 stars","-"
"469",14,"Ronnie Rivers",LAR,"RB139","11","","","5 out of 5 stars","-"
"470",14,"Zay Jones",FA,"WR163","-","","","-","-"
"471",14,"Hunter Luepke",DAL,"RB140","14","","","4 out of 5 stars","-"
"472",14,"Josh Reynolds",FA,"WR164","-","","","-","-"
"473",14,"Drew Sample",CIN,"TE74","6","","","3 out of 5 stars","-"
"474",14,"Malik Benson",LV,"WR165","13","","","2 out of 5 stars","-149"
"475",14,"Clyde Edwards-Helaire",FA,"RB141","-","","","-","-"
"476",14,"Chip Trayanum",NYJ,"RB142","13","","","3 out of 5 stars","-"
"477",14,"Spencer Shrader",IND,"K23","13","","","4 out of 5 stars","-"
"478",14,"Charlie Kolar",LAC,"TE75","7","","","4 out of 5 stars","-207"
"479",14,"Blake Grupe",IND,"K24","13","","","4 out of 5 stars","-"
"480",14,"Jake Moody",WAS,"K25","7","","","5 out of 5 stars","-"
"481",14,"Donovan Edwards",MIA,"RB143","6","","","3 out of 5 stars","-"
"482",14,"Jack Endries",CIN,"TE76","6","","","3 out of 5 stars","-140"
"483",14,"Michael Burton",CLE,"RB144","11","","","3 out of 5 stars","-"
"484",14,"Kalel Mullings",TEN,"RB145","9","","","3 out of 5 stars","-"
"485",14,"Chad Ryland",ARI,"K26","14","","","2 out of 5 stars","-"
"486",14,"Washington Commanders",WAS,"DST29","7","","","2 out of 5 stars","-"
"487",14,"Taysom Hill",FA,"TE77","-","","","-","-82"
"488",14,"Hunter Renfrow",FA,"WR166","-","","","-","-"
"489",14,"Mo Alie-Cox",IND,"TE78","13","","","3 out of 5 stars","-"
"490",14,"Albert Okwuegbunam Jr.",LV,"TE79","13","","","3 out of 5 stars","-"
"491",14,"Myles Gaskin",FA,"RB146","-","","","-","-"
"492",14,"Tai Felton",MIN,"WR167","6","","","5 out of 5 stars","-"
"493",14,"Pierre Strong Jr.",GB,"RB147","11","","","4 out of 5 stars","-"
"494",14,"Zamir White",LV,"RB148","13","","","2 out of 5 stars","-"
"495",14,"Tim Patrick",NYJ,"WR168","13","","","4 out of 5 stars","-131"
"496",14,"Jermaine Burton",FA,"WR169","-","","","-","-"
"497",14,"Nate Adkins",DEN,"TE80","10","","","4 out of 5 stars","-"
"498",14,"Mecole Hardman Jr.",BUF,"WR170","7","","","4 out of 5 stars","-"
"499",14,"Durham Smythe",BAL,"TE81","13","","","4 out of 5 stars","-"
"500",14,"Will Dissly",FA,"TE82","-","","","-","-"
"501",14,"Cade Klubnik",NYJ,"QB46","13","","","4 out of 5 stars","-192"
"502",14,"Russell Gage Jr.",FA,"WR171","-","","","-","-"
"503",14,"Will Mallory",IND,"TE83","13","","","3 out of 5 stars","-"
"504",14,"Trey Sermon",FA,"RB149","-","","","-","-"
"505",14,"Ja'Lynn Polk",NO,"WR172","8","","","3 out of 5 stars","-"
"506",14,"JuJu Smith-Schuster",NYG,"WR173","8","","","4 out of 5 stars","-"
"507",14,"Gardner Minshew II",ARI,"QB47","14","","","2 out of 5 stars","-132"
"508",14,"Salvon Ahmed",CHI,"RB150","10","","","2 out of 5 stars","-"
"509",14,"Deon Jackson",FA,"RB151","-","","","-","-"
"510",14,"Moliki Matavao",NO,"TE84","8","","","2 out of 5 stars","-"
"511",14,"Tyler Conklin",DET,"TE85","6","","","3 out of 5 stars","-110"
"512",14,"Jordan Akins",FA,"TE86","-","","","-","-"
"513",14,"Lan Larison",NE,"RB152","11","","","2 out of 5 stars","-"
"514",14,"Julian Hill",NE,"TE87","11","","","4 out of 5 stars","-"
"515",14,"Quinn Ewers",MIA,"QB48","6","","","3 out of 5 stars","-152"
"516",14,"Xavier Restrepo",TEN,"WR174","9","","","3 out of 5 stars","-"
"517",14,"Jakobie Keeney-James",FA,"WR175","-","","","-","-"
"518",14,"Will Kacmarek",MIA,"TE88","6","","","5 out of 5 stars","-177"
"519",14,"Frank Gore Jr.",BUF,"RB153","7","","","2 out of 5 stars","-"
"520",14,"Elijah Dotson",FA,"RB154","-","","","-","-"
"521",14,"Montorie Foster Jr.",SEA,"WR176","11","","","3 out of 5 stars","-"
"522",14,"Jermar Jefferson",FA,"RB155","-","","","-","-"
"523",14,"Riley Nowakowski",PIT,"TE89","9","","","2 out of 5 stars","-"
"524",14,"Devonte Boyd",FA,"WR177","-","","","-","-"
"525",14,"Avery Williams",FA,"RB156","-","","","-","-"
"526",14,"Michael Woods II",FA,"WR178","-","","","-","-"
"527",14,"Sincere McCormick",SF,"RB157","8","","","2 out of 5 stars","-"
"528",14,"Xavier Weaver",ARI,"WR179","14","","","2 out of 5 stars","-132"
"529",14,"Jacardia Wright",SEA,"RB158","11","","","4 out of 5 stars","-"
"530",14,"Michael Briscoe",MIN,"WR180","6","","","5 out of 5 stars","-"
"531",14,"Jabari Small",DET,"RB159","6","","","5 out of 5 stars","-"
"532",14,"Lil'Jordan Humphrey",DEN,"WR181","10","","","2 out of 5 stars","-"
"533",14,"Kaden Wetjen",PIT,"WR182","9","","","3 out of 5 stars","-"
"534",14,"Nathan Carter",ATL,"RB160","11","","","2 out of 5 stars","-"
"535",14,"Quez Watkins",PHI,"WR183","10","","","4 out of 5 stars","-"
"536",14,"Seydou Traore",MIA,"TE90","6","","","5 out of 5 stars","-"
"537",14,"Anthony McFarland Jr.",FA,"RB161","-","","","-","-"
"538",14,"Miles Davis",CAR,"RB162","5","","","1 out of 5 stars","-"
"539",14,"Josh Williams",TB,"RB163","10","","","2 out of 5 stars","-"
"540",14,"Max Bredeson",MIN,"RB164","6","","","4 out of 5 stars","-"
"541",14,"Braxton Berrios",NYG,"WR184","8","","","4 out of 5 stars","-"
"542",14,"Ulysses Bentley IV",IND,"RB165","13","","","4 out of 5 stars","-"
"543",14,"Ray-Ray McCloud III",FA,"WR185","-","","","-","-"
"544",14,"Desmond Reid",FA,"RB166","-","","","-","-"
"545",14,"Jonathan Williams",FA,"RB167","-","","","-","-"
"546",14,"Casey Washington",FA,"WR186","-","","","-","-"
"547",14,"Evan Hull",HOU,"RB168","8","","","4 out of 5 stars","-"
"548",14,"Myles Price",MIN,"WR187","6","","","5 out of 5 stars","-"
"549",14,"Montrell Johnson Jr.",FA,"RB169","-","","","-","-"
"550",14,"Nick Bawden",FA,"RB170","-","","","-","-"
"551",14,"Kendric Pryor",CIN,"WR188","6","","","4 out of 5 stars","-"
"552",14,"Omarius Hines",FA,"WR189","-","","","-","-"
"553",14,"Tyler Goodson",ATL,"RB171","11","","","2 out of 5 stars","-"
"554",14,"Miles Kitselman",DET,"TE91","6","","","3 out of 5 stars","-"
"555",14,"Dean Connors",LAR,"RB172","11","","","5 out of 5 stars","-"
"556",14,"Alec Ingold",LAC,"RB173","7","","","3 out of 5 stars","-"
"557",14,"Carsen Ryan",CLE,"TE92","11","","","3 out of 5 stars","-"
"558",14,"Wendell Smallwood",FA,"RB174","-","","","-","-"
"559",14,"Royce Freeman",FA,"RB175","-","","","-","-"
"560",14,"Isaiah Hodgins",NYG,"WR190","8","","","4 out of 5 stars","-"
"561",14,"Michael Bandy",DEN,"WR191","10","","","2 out of 5 stars","-"
"562",14,"Joe Royer",CLE,"TE93","11","","","3 out of 5 stars","-"
"563",14,"Roman Hemby",LV,"RB176","13","","","2 out of 5 stars","-"
"564",14,"Jalen Brooks",ARI,"WR192","14","","","2 out of 5 stars","-"
"565",14,"David Moore",CAR,"WR193","5","","","2 out of 5 stars","-"
"566",14,"Khalil Dinkins",SF,"TE94","8","","","3 out of 5 stars","-"
"567",15,"Jamal Haynes",CIN,"RB177","6","","","2 out of 5 stars","-"
"568",15,"Jacob Saylors",DET,"RB178","6","","","5 out of 5 stars","-"
"569",15,"Tanner Koziol",JAC,"TE95","7","","","3 out of 5 stars","-238"
"570",15,"Craig Reynolds",FA,"RB179","-","","","-","-"
"571",15,"Michael Wortham",JAC,"WR194","7","","","4 out of 5 stars","-"
"572",15,"Gus Edwards",FA,"RB180","-","","","-","-"
"573",15,"Nick Folk",ATL,"K27","11","","","0 out of 5 stars","-"
"574",15,"Jordan Mims",FA,"RB181","-","","","-","-"
"575",15,"Michael Trigg",DAL,"TE96","14","","","2 out of 5 stars","-199"
"576",15,"Ja'Quinden Jackson",FA,"RB182","-","","","-","-"
"577",15,"Kye Robichaux",DET,"RB183","6","","","5 out of 5 stars","-"
"578",15,"Josh Cuevas",BAL,"TE97","13","","","4 out of 5 stars","-"
"579",15,"Theo Wease Jr.",MIA,"WR195","6","","","3 out of 5 stars","-210"
"580",15,"Patrick Ricard",NYG,"RB184","8","","","4 out of 5 stars","-"
"581",15,"Logan Thomas",FA,"TE98","-","","","-","-"
"582",15,"Adam Prentice",DEN,"RB185","10","","","2 out of 5 stars","-"
"583",15,"Kendall Milton",CIN,"RB186","6","","","2 out of 5 stars","-"
"584",15,"Brandon McManus",FA,"K28","-","","","-","-"
"585",15,"Jase McClellan",FA,"RB187","-","","","-","-"
"586",15,"Bo Melton",GB,"WR196","11","","","5 out of 5 stars","-"
"587",15,"Ben Sauls",NYG,"K29","8","","","2 out of 5 stars","-"
"588",15,"Jaheim Bell",PIT,"TE99","9","","","2 out of 5 stars","-"
"589",15,"Darrynton Evans",FA,"RB188","-","","","-","-"
"590",15,"Dominic Lovett",DET,"WR197","6","","","4 out of 5 stars","-"
"591",15,"Lewis Bond",HOU,"WR198","8","","","3 out of 5 stars","-"
"592",15,"Luke Farrell",SF,"TE100","8","","","3 out of 5 stars","-"
"593",15,"Anthony Smith",DAL,"WR199","14","","","2 out of 5 stars","-"
"594",15,"Emmanuel Henderson Jr.",SEA,"WR200","11","","","3 out of 5 stars","-"
"595",15,"Ricky White III",SEA,"WR201","11","","","3 out of 5 stars","-"
"596",15,"Kaden Prather",FA,"WR202","-","","","-","-"
"597",15,"Trayveon Williams",FA,"RB189","-","","","-","-"
"598",15,"Tyler Johnson",DAL,"WR203","14","","","2 out of 5 stars","-"
"599",15,"Bauer Sharp",TB,"TE101","10","","","2 out of 5 stars","-"
"600",15,"Charlie Woerner",ATL,"TE102","11","","","3 out of 5 stars","-"
"601",15,"Julius Chestnut",TEN,"RB190","9","","","3 out of 5 stars","-"
"602",15,"DeeJay Dallas",JAC,"RB191","7","","","4 out of 5 stars","-"
"603",15,"Joey Slye",TEN,"K30","9","","","4 out of 5 stars","-"
"604",15,"Dale Moss",FA,"WR204","-","","","-","-"
"605",15,"Andrew Beck",NYJ,"TE103","13","","","4 out of 5 stars","-"
"606",15,"CJ Williams",JAC,"WR205","7","","","4 out of 5 stars","-"
"607",15,"Blake Watson",FA,"RB192","-","","","-","-"
"608",15,"Carlos Washington Jr.",MIA,"RB193","6","","","3 out of 5 stars","-"
"609",15,"Carson Steele",PHI,"RB194","10","","","4 out of 5 stars","-"
"610",15,"Chase Edmonds",WAS,"RB195","7","","","4 out of 5 stars","-"
"611",15,"Chris Evans",FA,"RB196","-","","","-","-"
"612",15,"Tyler Badie",DEN,"RB197","10","","","2 out of 5 stars","-"
"613",15,"D'Ernest Johnson",FA,"RB198","-","","","-","-"
"614",15,"Malik Taylor",FA,"WR206","-","","","-","-"
"615",15,"D'Onta Foreman",FA,"RB199","-","","","-","-"
"616",15,"Kameron Johnson",TB,"WR207","10","","","4 out of 5 stars","-"
"617",15,"Dare Ogunbowale",FA,"RB200","-","","","-","-207"
"618",15,"Deuce Vaughn",FA,"RB201","-","","","-","-"
"619",15,"Dillon Johnson",FA,"RB202","-","","","-","-"
"620",15,"Dontrell Hilliard",FA,"RB203","-","","","-","-"
"621",15,"Eric Gray",NYG,"RB204","8","","","4 out of 5 stars","-"
"622",15,"Hassan Haskins",LAC,"RB205","7","","","3 out of 5 stars","-"
"623",15,"Israel Abanikanda",DAL,"RB206","14","","","4 out of 5 stars","-"
"624",15,"JaMycal Hasty",FA,"RB207","-","","","-","-"
"625",15,"Jashaun Corbin",FA,"RB208","-","","","-","-"
"626",15,"Bisi Johnson",FA,"WR208","-","","","-","-"
"627",15,"Jeff Wilson Jr.",FA,"RB209","-","","","-","-"
"628",15,"Jonathan Ward",FA,"RB210","-","","","-","-"
"629",15,"Kenny McIntosh",SEA,"RB211","11","","","4 out of 5 stars","-"
"630",15,"Kevin Harris",FA,"RB212","-","","","-","-"
"631",15,"Lew Nichols III",PIT,"RB213","9","","","2 out of 5 stars","-"
"632",15,"Gage Larvadain",CLE,"WR209","11","","","3 out of 5 stars","-"
"633",15,"Ross Dwelley",FA,"TE104","-","","","-","-"
"634",15,"Kendrick Law",DET,"WR210","6","","","4 out of 5 stars","-"
"635",15,"Raheem Blackshear",FA,"RB214","-","","","-","-"
"636",15,"Tanner Conner",NYG,"TE105","8","","","3 out of 5 stars","-"
"637",15,"Johnny Mundt",PHI,"TE106","10","","","4 out of 5 stars","-"
"638",15,"Drew Ogletree",IND,"TE107","13","","","3 out of 5 stars","-"
"639",15,"Cade Stover",HOU,"TE108","8","","","4 out of 5 stars","-261"
"640",15,"Jimmy Horn Jr.",CAR,"WR211","5","","","2 out of 5 stars","-255"
"641",15,"Josiah Deguara",FA,"TE109","-","","","-","-"
"642",15,"Ryan Griffin",FA,"TE110","-","","","-","-"
"643",15,"Reggie Gilliam",NE,"RB215","11","","","2 out of 5 stars","-"
"644",15,"Pharaoh Brown",FA,"TE111","-","","","-","-"
"645",15,"Reggie Virgil",ARI,"WR212","14","","","2 out of 5 stars","-"
"646",15,"Tip Reiman",ARI,"TE112","14","","","2 out of 5 stars","-"
"647",15,"Connor Heyward",LV,"TE113","13","","","3 out of 5 stars","-"
"648",15,"Gavin Bartholomew",MIN,"TE114","6","","","4 out of 5 stars","-"
"649",15,"Anthony Firkser",WAS,"TE115","7","","","1 out of 5 stars","-"
"650",15,"Jack Stoll",CLE,"TE116","11","","","3 out of 5 stars","-253"
"651",15,"Ben Sims",MIA,"TE117","6","","","5 out of 5 stars","-"
"652",15,"Brevyn Spann-Ford",DAL,"TE118","14","","","2 out of 5 stars","-268"
"653",15,"Jared Wiley",KC,"TE119","5","","","4 out of 5 stars","-"
"654",15,"Tucker Fisk",FA,"TE120","-","","","-","-"
"655",15,"Ian Thomas",LV,"TE121","13","","","3 out of 5 stars","-"
"656",15,"Jeremy Ruckert",NYJ,"TE122","13","","","4 out of 5 stars","-264"
"657",15,"Josh Whyle",GB,"TE123","11","","","2 out of 5 stars","-"
"658",15,"Foster Moreau",HOU,"TE124","8","","","4 out of 5 stars","-"
"659",15,"Cedrick Wilson Jr.",DET,"WR213","6","","","4 out of 5 stars","-"
"660",15,"Geoff Swaim",FA,"TE125","-","","","-","-"
"661",15,"Harrison Bryant",SEA,"TE126","11","","","3 out of 5 stars","-"
"662",16,"Hunter Long",JAC,"TE127","7","","","3 out of 5 stars","-"
"663",16,"James Mitchell",CAR,"TE128","5","","","2 out of 5 stars","-"
"664",16,"Tyrion Davis-Price",FA,"RB216","-","","","-","-"
"665",16,"Lucas Krull",DEN,"TE129","10","","","4 out of 5 stars","-"
"666",16,"Stone Smartt",PHI,"TE130","10","","","4 out of 5 stars","-"
"667",16,"Brayden Willis",SF,"TE131","8","","","3 out of 5 stars","-"
"668",16,"Chris Manhertz",NYG,"TE132","8","","","3 out of 5 stars","-"
"669",16,"Cole Turner",MIA,"TE133","6","","","5 out of 5 stars","-"
"670",16,"Devin Culp",TB,"TE134","10","","","2 out of 5 stars","-"
"671",16,"Eric Saubert",SEA,"TE135","11","","","3 out of 5 stars","-"
"672",16,"Jesper Horsted",FA,"TE136","-","","","-","-"
"673",16,"Velus Jones Jr.",SEA,"WR214","11","","","3 out of 5 stars","-"
"674",16,"Michael Jacobson",FA,"TE137","-","","","-","-"
"675",16,"Noah Brown",FA,"WR215","-","","","-","-"
"676",16,"Payne Durham",TB,"TE138","10","","","2 out of 5 stars","-"
"677",16,"Teagan Quitoriano",ARI,"TE139","14","","","2 out of 5 stars","-"
"678",16,"Quintin Morris",JAC,"TE140","7","","","3 out of 5 stars","-"
"679",16,"Blake Whiteheart",CLE,"TE141","11","","","3 out of 5 stars","-"
"680",16,"Brevin Jordan",HOU,"TE142","8","","","4 out of 5 stars","-"
"681",16,"Brycen Hopkins",FA,"TE143","-","","","-","-"
"682",16,"CJ Dippre",NE,"TE144","11","","","4 out of 5 stars","-"
"683",16,"Curtis Hodges",FA,"TE145","-","","","-","-"
"684",16,"Skyy Moore",GB,"WR216","11","","","5 out of 5 stars","-"
"685",16,"Davis Allen",LAR,"TE146","11","","","4 out of 5 stars","-"
"686",16,"Anthony Gould",IND,"WR217","13","","","4 out of 5 stars","-"
"687",16,"Gerald Everett",FA,"TE147","-","","","-","-"
"688",16,"Grant Calcaterra",PHI,"TE148","10","","","4 out of 5 stars","-365"
"689",16,"John Hurst",FA,"WR218","-","","","-","-"
"690",16,"Jake Briningstool",KC,"TE149","5","","","4 out of 5 stars","-"
"691",16,"Jelani Woods",NYJ,"TE150","13","","","4 out of 5 stars","-"
"692",16,"Kenny Yeboah",ARI,"TE151","14","","","2 out of 5 stars","-"
"693",16,"Ko Kieft",TB,"TE152","10","","","2 out of 5 stars","-"
"694",16,"Marquez Valdes-Scantling",DAL,"WR219","14","","","2 out of 5 stars","-390"
"695",16,"Kylen Granson",TEN,"TE153","9","","","3 out of 5 stars","-"
"696",16,"Luke Lachey",GB,"TE154","11","","","2 out of 5 stars","-"
"697",16,"Mitchell Wilcox",FA,"TE155","-","","","-","-"
"698",16,"Nick Boyle",FA,"TE156","-","","","-","-"
"699",16,"Nick Vannett",LAR,"TE157","11","","","4 out of 5 stars","-"
"700",16,"Noah Togiai",FA,"TE158","-","","","-","-"
"701",16,"Peyton Hendershot",FA,"TE159","-","","","-","-"
"702",16,"Sean McKeon",IND,"TE160","13","","","3 out of 5 stars","-"
"703",16,"Tyler Davis",FA,"WR220","-","","","-","-"
"704",16,"Zach Gentry",FA,"TE161","-","","","-","-"
"705",16,"Gabe Davis",FA,"WR221","-","","","-","-"
"706",16,"Jonathan Mingo",DAL,"WR222","14","","","2 out of 5 stars","-"
"707",16,"Nelson Agholor",FA,"WR223","-","","","-","-"
"708",16,"Brycen Tremayne",CAR,"WR224","5","","","2 out of 5 stars","-"
"709",16,"DeAndre Carter",FA,"WR225","-","","","-","-"
"710",16,"Tyrell Shavers",BUF,"WR226","7","","","4 out of 5 stars","-"
"711",16,"Jake Bobo",SEA,"WR227","11","","","3 out of 5 stars","-312"
"712",16,"Tahj Washington",MIA,"WR228","6","","","3 out of 5 stars","-"
"713",16,"Bub Means",NO,"WR229","8","","","3 out of 5 stars","-"
"714",16,"Mason Tipton",NO,"WR230","8","","","3 out of 5 stars","-"
"715",16,"Barion Brown",NO,"WR231","8","","","3 out of 5 stars","-"
"716",16,"Josh Cameron",JAC,"WR232","7","","","4 out of 5 stars","-"
"717",16,"KeAndre Lambert-Smith",LAC,"WR233","7","","","2 out of 5 stars","-345"
"718",16,"Jordan Watkins",SF,"WR234","8","","","2 out of 5 stars","-"
"719",16,"Stephen Campbell",FA,"RB217","-","","","-","-"
"720",16,"Marquez Callaway",FA,"WR235","-","","","-","-"
"721",16,"Samori Toure",PHI,"WR236","10","","","4 out of 5 stars","-"
"722",16,"Scotty Miller",CHI,"WR237","10","","","3 out of 5 stars","-"
"723",16,"Trenton Irwin",FA,"WR238","-","","","-","-"
"724",16,"Dee Eskridge",FA,"WR239","-","","","-","-"
"725",16,"LaJohntay Wester",BAL,"WR240","13","","","4 out of 5 stars","-"
"726",16,"Tylan Wallace",CLE,"WR241","11","","","3 out of 5 stars","-"
"727",16,"Allen Lazard",FA,"WR242","-","","","-","-"
"728",16,"Arian Smith",NYJ,"WR243","13","","","4 out of 5 stars","-"
"729",16,"Curtis Samuel",FA,"WR244","-","","","-","-"
"730",16,"Jamari Thrash",CLE,"WR245","11","","","3 out of 5 stars","-"
"731",16,"Jason Brownlee",KC,"WR246","5","","","2 out of 5 stars","-"
"732",16,"KhaDarel Hodge",FA,"WR247","-","","","-","-"
"733",16,"Shedrick Jackson",LV,"WR248","13","","","2 out of 5 stars","-"
"734",16,"Ainias Smith",CAR,"WR249","5","","","2 out of 5 stars","-"
"735",16,"Anthony Schwartz",FA,"WR250","-","","","-","-"
"736",16,"Austin Trammell",JAC,"WR251","7","","","4 out of 5 stars","-"
"737",16,"Brandon Powell",FA,"WR252","-","","","-","-"
"738",16,"Britain Covey",PHI,"WR253","10","","","4 out of 5 stars","-"
"739",16,"Byron Pringle",FA,"WR254","-","","","-","-"
"740",16,"Charlie Jones",CIN,"WR255","6","","","4 out of 5 stars","-"
"741",16,"Chris Blair",ATL,"WR256","11","","","3 out of 5 stars","-"
"742",16,"Cody Thompson",FA,"WR257","-","","","-","-"
"743",16,"Danny Gray",PHI,"WR258","10","","","4 out of 5 stars","-"
"744",16,"Daurice Fountain",FA,"WR259","-","","","-","-"
"745",16,"Derius Davis",LAC,"WR260","7","","","2 out of 5 stars","-"
"746",16,"Equanimeous St. Brown",FA,"WR261","-","","","-","-"
"747",16,"Isaiah McKenzie",FA,"WR262","-","","","-","-"
"748",16,"Jacob Cowing",SF,"WR263","8","","","2 out of 5 stars","-346"
"749",16,"Jalen Guyton",FA,"WR264","-","","","-","-"
"750",16,"Jalen Reagor",MIA,"WR265","6","","","3 out of 5 stars","-"
"751",16,"Jalin Hyatt",NYG,"WR266","8","","","4 out of 5 stars","-"
"752",16,"James Proche II",FA,"WR267","-","","","-","-"
"753",16,"Javon Baker",FA,"WR268","-","","","-","-"
"754",16,"Johnny Wilson",PHI,"WR269","10","","","4 out of 5 stars","-"
"755",16,"Justin Shorter",LV,"WR270","13","","","2 out of 5 stars","-"
"756",16,"Laquon Treadwell",IND,"WR271","13","","","4 out of 5 stars","-"
"757",16,"Laviska Shenault Jr.",FA,"WR272","-","","","-","-"
"758",16,"Malachi Corley",CLE,"WR273","11","","","3 out of 5 stars","-"
"759",16,"Nick Nash",WAS,"WR274","7","","","2 out of 5 stars","-"
"760",16,"Nikko Remigio",KC,"WR275","5","","","2 out of 5 stars","-"
"761",16,"Rakim Jarrett",FA,"WR276","-","","","-","-"
"762",16,"Tejhaun Palmer",ARI,"WR277","14","","","2 out of 5 stars","-"
"763",16,"Tim Jones",JAC,"WR278","7","","","4 out of 5 stars","-"
"764",16,"Trey Palmer",NO,"WR279","8","","","3 out of 5 stars","-"
"765",16,"Trishton Jackson",FA,"WR280","-","","","-","-"
"766",16,"Xavier Gipson",NYG,"WR281","8","","","4 out of 5 stars","-"
"767",16,"Zach Pascal",FA,"WR282","-","","","-","-"
"768",16,"Ross Travis",FA,"TE162","-","","","-","-"
"769",16,"Mazeo Bennett",FA,"WR283","-","","","-","-"
